client_id,subscription_id,cycle_number,tenure_months,contract,monthly_charges,total_charges,payment_method,paperless_billing,nivel_reportes,control_stock,duracion_ciclo_dias,dias_restantes_al_corte,renovacion_automatica,alertas_enviadas,renovaciones_previas,region,client_estado,partner,dependents,target_renovo
CL-00001,1606,1,5,enterprise,598.0,2726.84,tarjeta,0,avanzado,0,365,5,1,1,0,Lima,activo,si,si,0
CL-00002,455,19,19,mensual,253.78,4954.45,factura,0,avanzado,1,30,4,0,1,18,Chiclayo,activo,si,si,1
CL-00003,333,3,39,enterprise,348.24,11972.77,tarjeta,0,avanzado,1,365,19,1,0,2,Cusco,activo,no,si,0
CL-00004,2269,1,16,anual,118.91,1505.56,transferencia,1,basico,0,365,14,1,1,0,Lima,activo,no,si,1
CL-00005,726,25,25,mensual,92.51,2196.27,tarjeta,0,avanzado,0,30,3,0,1,24,Arequipa,activo,si,si,1
CL-00006,516,3,43,enterprise,326.04,10646.75,transferencia,0,basico,1,365,31,0,0,2,Piura,activo,si,no,0
CL-00007,642,1,23,enterprise,69.51,1649.94,transferencia,0,basico,1,365,39,1,0,0,Piura,activo,no,si,1
CL-00008,268,3,37,enterprise,169.38,6467.39,yape,1,premium,1,365,38,1,0,2,Arequipa,activo,no,si,1
CL-00009,1255,71,71,mensual,167.19,9231.0,factura,0,premium,1,30,7,0,1,70,Chiclayo,activo,no,no,1
CL-00010,2195,28,28,mensual,51.88,1329.55,factura,1,premium,0,30,40,0,0,27,Cusco,activo,si,si,1
CL-00011,1424,61,61,mensual,64.85,3913.19,transferencia,1,avanzado,1,30,20,0,0,60,Arequipa,activo,no,si,1
CL-00012,2307,3,46,enterprise,235.1,9618.22,tarjeta,1,basico,1,365,10,1,1,2,Lima,activo,si,no,1
CL-00013,2284,1,1,anual,172.11,153.8,transferencia,1,premium,0,365,7,1,1,0,Chiclayo,activo,si,no,1
CL-00014,411,1,5,enterprise,221.99,1155.52,transferencia,1,avanzado,0,365,35,0,0,0,Lima,inactivo,no,no,0
CL-00015,1155,11,11,mensual,107.91,972.34,transferencia,0,premium,0,30,12,0,1,10,Arequipa,activo,no,no,0
CL-00016,446,11,11,mensual,127.6,1274.32,factura,1,avanzado,1,30,29,0,0,10,Lima,activo,si,no,0
CL-00017,1573,2,30,anual,424.47,9989.78,transferencia,0,avanzado,1,365,25,1,0,1,Lima,activo,si,no,0
CL-00018,732,47,47,mensual,103.15,4075.91,tarjeta,1,basico,1,30,42,0,0,46,Lima,activo,no,no,1
CL-00019,129,5,63,enterprise,312.3,19778.61,yape,1,basico,1,365,33,1,0,4,Lima,activo,no,no,1
CL-00020,151,3,39,anual,254.59,9580.85,tarjeta,0,avanzado,1,365,35,1,0,2,Cusco,activo,no,no,1
CL-00021,1332,1,21,anual,127.23,2494.42,tarjeta,0,premium,1,365,23,0,0,0,Lima,activo,no,si,0
CL-00022,1049,1,1,mensual,41.22,32.32,yape,1,avanzado,0,30,24,0,0,0,Piura,activo,no,no,0
CL-00023,2024,2,34,enterprise,296.37,10129.07,tarjeta,0,basico,0,365,7,1,0,1,Chiclayo,activo,no,no,1
CL-00024,1796,2,33,enterprise,492.13,13632.63,transferencia,0,avanzado,1,365,36,1,0,1,Arequipa,activo,si,no,0
CL-00025,2406,2,36,enterprise,327.47,10733.75,yape,1,basico,1,365,34,0,0,1,Cusco,activo,si,no,1
CL-00026,211,72,72,mensual,117.28,6924.57,tarjeta,0,premium,0,30,14,0,0,71,Trujillo,activo,no,si,1
CL-00027,1899,62,62,mensual,44.6,2505.88,transferencia,0,basico,0,30,7,0,1,61,Arequipa,inactivo,no,si,1
CL-00028,753,51,51,mensual,97.48,4567.01,transferencia,0,basico,1,30,36,0,0,50,Lima,activo,no,no,1
CL-00029,1772,8,8,mensual,207.34,1413.46,transferencia,1,avanzado,0,30,35,0,0,7,Trujillo,activo,si,no,0
CL-00030,893,1,19,anual,64.78,1109.92,factura,1,avanzado,1,365,36,1,0,0,Lima,activo,si,no,1
CL-00031,1981,2,30,anual,188.7,4935.35,factura,1,avanzado,1,365,2,1,0,1,Lima,activo,si,no,1
CL-00032,2354,1,13,enterprise,241.89,3016.42,tarjeta,0,basico,1,365,39,1,0,0,Lima,activo,no,si,0
CL-00033,399,44,44,mensual,65.61,2636.17,transferencia,0,premium,1,30,17,0,0,43,Arequipa,activo,si,no,1
CL-00034,1862,41,41,mensual,155.83,6474.79,tarjeta,1,avanzado,0,30,11,0,1,40,Lima,activo,no,si,1
CL-00035,325,5,5,mensual,160.26,612.91,tarjeta,1,basico,1,30,24,0,0,4,Cusco,activo,no,no,0
CL-00036,922,61,61,mensual,122.11,5646.06,transferencia,0,basico,0,30,39,0,0,60,Arequipa,activo,si,no,1
CL-00037,1580,34,34,mensual,54.19,1486.06,tarjeta,0,avanzado,0,30,37,0,0,33,Trujillo,activo,si,si,1
CL-00038,516,1,1,mensual,39.22,30.81,transferencia,1,avanzado,1,30,8,0,0,0,Arequipa,activo,no,no,0
CL-00039,2127,31,31,mensual,110.77,3117.16,transferencia,0,avanzado,1,30,44,0,0,30,Cusco,activo,no,no,1
CL-00040,2173,3,39,anual,160.11,5058.13,transferencia,1,basico,1,365,35,0,0,2,Piura,activo,si,no,0
CL-00041,1831,56,56,mensual,207.04,8751.5,factura,0,basico,1,30,42,0,0,55,Arequipa,activo,no,no,1
CL-00042,713,1,24,enterprise,570.92,11438.31,yape,1,basico,1,365,42,1,0,0,Lima,activo,no,no,1
CL-00043,2205,4,52,anual,376.35,17667.21,yape,0,avanzado,1,365,24,1,0,3,Trujillo,activo,no,no,1
CL-00044,1562,36,36,mensual,72.22,2507.04,transferencia,0,avanzado,0,30,2,0,1,35,Chiclayo,activo,no,no,1
CL-00045,1797,1,1,enterprise,387.68,341.75,tarjeta,0,basico,0,365,4,1,1,0,Lima,activo,no,no,0
CL-00046,1728,1,1,enterprise,457.85,475.62,tarjeta,0,avanzado,0,365,29,1,0,0,Cusco,activo,no,no,0
CL-00047,253,59,59,mensual,135.81,6489.04,tarjeta,1,premium,1,30,5,0,1,58,Lima,activo,no,si,1
CL-00048,1973,61,61,mensual,80.47,4438.51,factura,0,basico,1,30,30,0,0,60,Chiclayo,activo,si,no,1
CL-00049,2284,3,40,anual,351.65,11617.88,transferencia,0,basico,1,365,5,0,0,2,Cusco,activo,si,si,1
CL-00050,1544,69,69,mensual,94.76,6486.13,transferencia,1,avanzado,0,30,37,0,0,68,Chiclayo,activo,no,no,1
CL-00051,939,58,58,mensual,149.87,7008.97,transferencia,0,basico,1,30,13,0,1,57,Lima,activo,no,no,1
CL-00052,1005,49,49,mensual,27.7,1409.53,transferencia,1,basico,1,30,5,0,0,48,Lima,activo,no,si,1
CL-00053,1996,1,9,enterprise,390.6,3392.3,factura,0,premium,0,365,16,1,0,0,Lima,activo,no,no,0
CL-00054,372,5,72,anual,162.14,10705.83,tarjeta,1,avanzado,1,365,41,0,0,4,Lima,activo,si,no,0
CL-00055,1997,3,45,anual,270.98,11093.03,yape,1,avanzado,1,365,25,1,0,2,Lima,activo,no,si,1
CL-00056,500,1,22,enterprise,271.02,5120.19,transferencia,0,premium,0,365,45,0,0,0,Lima,activo,si,no,1
CL-00057,1286,15,15,mensual,136.05,1543.44,tarjeta,1,basico,1,30,12,0,1,14,Lima,activo,si,no,1
CL-00058,1467,3,38,anual,156.72,6101.49,transferencia,1,premium,1,365,31,0,0,2,Lima,activo,no,no,1
CL-00059,2379,1,1,mensual,182.91,180.8,transferencia,1,premium,0,30,9,0,1,0,Lima,activo,no,no,0
CL-00060,1214,49,49,mensual,112.3,4349.65,tarjeta,1,avanzado,0,30,20,0,0,48,Arequipa,suspendido,no,no,1
CL-00061,1472,1,8,anual,52.01,327.3,tarjeta,0,premium,0,365,17,1,0,0,Lima,activo,no,si,1
CL-00062,956,41,41,mensual,153.8,5312.2,transferencia,0,premium,1,30,29,0,0,40,Trujillo,activo,no,si,1
CL-00063,2052,1,19,anual,102.91,1914.12,yape,1,basico,0,365,31,1,0,0,Trujillo,inactivo,si,si,1
CL-00064,1331,2,25,enterprise,103.11,2322.42,transferencia,0,basico,0,365,3,0,1,1,Lima,activo,no,no,0
CL-00065,359,1,13,anual,91.69,1127.92,transferencia,0,avanzado,1,365,32,1,0,0,Lima,activo,no,si,1
CL-00066,2147,2,28,anual,250.39,5271.22,transferencia,0,avanzado,0,365,34,1,0,1,Chiclayo,inactivo,si,no,1
CL-00067,2431,5,72,anual,169.75,12553.36,factura,0,avanzado,0,365,18,0,0,4,Lima,activo,si,no,1
CL-00068,107,66,66,mensual,36.26,1913.82,factura,0,basico,1,30,4,0,1,65,Piura,activo,si,si,1
CL-00069,1021,41,41,mensual,77.08,2672.56,tarjeta,0,basico,1,30,20,0,0,40,Lima,activo,no,si,1
CL-00070,344,31,31,mensual,176.3,5651.91,tarjeta,0,basico,1,30,15,0,0,30,Lima,activo,no,no,1
CL-00071,1275,53,53,mensual,75.55,3883.5,yape,0,avanzado,0,30,36,0,0,52,Piura,activo,si,si,1
CL-00072,4,60,60,mensual,118.37,6415.56,tarjeta,1,basico,0,30,7,0,1,59,Trujillo,activo,no,si,1
CL-00073,494,1,11,enterprise,509.96,5659.34,yape,1,basico,1,365,14,1,0,0,Cusco,activo,si,no,0
CL-00074,800,30,30,mensual,147.38,3397.31,tarjeta,1,premium,1,30,33,0,0,29,Arequipa,activo,no,no,1
CL-00075,153,1,1,mensual,139.54,107.85,tarjeta,0,avanzado,1,30,43,0,0,0,Chiclayo,activo,no,no,0
CL-00076,417,59,59,mensual,39.07,1836.15,yape,1,premium,0,30,27,0,0,58,Lima,activo,no,si,1
CL-00077,1448,72,72,mensual,193.16,11534.5,tarjeta,0,basico,1,30,1,0,0,71,Lima,activo,si,no,1
CL-00078,697,2,34,anual,196.83,6442.66,tarjeta,0,basico,1,365,32,1,0,1,Lima,activo,no,no,0
CL-00079,1362,1,1,anual,414.78,377.34,yape,0,avanzado,1,365,2,0,1,0,Trujillo,activo,no,si,0
CL-00080,189,3,47,enterprise,155.53,6416.74,tarjeta,1,premium,0,365,3,0,0,2,Lima,activo,si,no,1
CL-00081,2175,1,10,anual,59.33,584.27,transferencia,0,avanzado,0,365,31,1,0,0,Cusco,activo,no,no,1
CL-00082,862,16,16,mensual,134.78,1822.55,transferencia,0,premium,0,30,17,0,0,15,Lima,activo,no,no,1
CL-00083,339,3,47,enterprise,256.59,9353.98,tarjeta,0,basico,1,365,2,1,1,2,Lima,activo,no,no,1
CL-00084,1000,38,38,mensual,118.47,3912.25,tarjeta,0,basico,1,30,19,0,0,37,Lima,activo,si,no,1
CL-00085,908,20,20,mensual,179.89,3525.57,tarjeta,0,premium,0,30,18,0,0,19,Chiclayo,inactivo,no,no,0
CL-00086,2315,16,16,mensual,98.51,1406.29,transferencia,0,avanzado,1,30,28,0,0,15,Trujillo,activo,no,si,1
CL-00087,489,2,35,anual,173.56,6336.68,factura,0,basico,1,365,43,1,0,1,Lima,activo,si,no,1
CL-00088,1428,22,22,mensual,152.57,3379.49,yape,0,basico,0,30,5,0,0,21,Trujillo,activo,si,no,1
CL-00089,372,5,5,mensual,89.22,440.43,yape,1,avanzado,1,30,30,0,0,4,Lima,activo,no,no,1
CL-00090,2113,24,24,mensual,115.59,2724.1,yape,1,basico,0,30,30,0,0,23,Piura,activo,si,si,1
CL-00091,2117,40,40,mensual,178.38,6595.33,yape,1,avanzado,1,30,44,0,0,39,Lima,activo,no,no,1
CL-00092,1560,2,27,anual,276.99,7630.88,transferencia,0,basico,1,365,18,1,0,1,Lima,activo,no,no,1
CL-00093,1320,1,1,mensual,212.61,197.08,factura,0,basico,1,30,8,0,1,0,Lima,inactivo,no,si,0
CL-00094,1117,56,56,mensual,109.68,5293.0,transferencia,1,avanzado,0,30,41,0,0,55,Chiclayo,activo,no,no,1
CL-00095,2474,1,1,mensual,27.97,22.62,transferencia,1,basico,0,30,3,0,1,0,Chiclayo,activo,si,no,0
CL-00096,2228,1,21,anual,200.04,4175.33,tarjeta,0,avanzado,0,365,21,1,0,0,Lima,activo,no,no,0
CL-00097,1552,17,17,mensual,90.93,1331.47,yape,0,basico,0,30,30,0,0,16,Arequipa,activo,si,si,1
CL-00098,1932,36,36,mensual,105.85,3762.09,transferencia,1,avanzado,1,30,5,0,1,35,Trujillo,activo,no,si,1
CL-00099,1603,46,46,mensual,77.56,3727.96,yape,1,avanzado,1,30,14,0,1,45,Lima,activo,si,si,1
CL-00100,69,4,60,enterprise,287.83,15018.02,yape,0,basico,1,365,5,0,1,3,Lima,activo,no,si,1
CL-00101,1392,1,14,enterprise,172.35,2056.33,tarjeta,0,avanzado,1,365,39,1,0,0,Lima,activo,no,no,1
CL-00102,551,3,46,anual,86.45,3185.45,transferencia,1,avanzado,0,365,12,1,1,2,Trujillo,activo,no,no,1
CL-00103,1450,37,37,mensual,189.21,6248.93,factura,0,basico,0,30,28,0,0,36,Chiclayo,activo,no,si,1
CL-00104,2497,1,1,enterprise,180.1,170.41,tarjeta,1,basico,0,365,11,1,0,0,Lima,inactivo,no,no,0
CL-00105,997,5,72,enterprise,271.89,16519.0,yape,0,avanzado,1,365,32,1,0,4,Lima,activo,si,no,1
CL-00106,1924,1,1,anual,213.52,191.25,tarjeta,0,basico,0,365,36,1,0,0,Arequipa,activo,no,no,0
CL-00107,2445,42,42,mensual,158.77,6075.67,transferencia,1,avanzado,0,30,2,0,1,41,Lima,activo,si,no,1
CL-00108,1032,41,41,mensual,124.53,4250.88,factura,1,basico,0,30,33,0,0,40,Lima,activo,no,no,1
CL-00109,1788,39,39,mensual,121.62,3590.84,transferencia,1,basico,0,30,30,0,0,38,Lima,inactivo,no,no,1
CL-00110,1479,1,20,enterprise,412.8,6726.06,transferencia,0,basico,0,365,4,0,1,0,Lima,activo,si,si,1
CL-00111,608,52,52,mensual,173.14,8921.75,yape,1,basico,0,30,12,0,0,51,Lima,activo,no,no,1
CL-00112,1929,1,1,mensual,160.72,133.95,tarjeta,1,basico,1,30,39,0,0,0,Piura,activo,no,si,0
CL-00113,944,30,30,mensual,32.52,735.75,tarjeta,0,basico,0,30,20,0,0,29,Arequipa,activo,no,no,1
CL-00114,980,1,18,anual,165.05,2606.92,transferencia,1,basico,0,365,5,1,1,0,Piura,activo,no,si,1
CL-00115,231,15,15,mensual,180.61,2586.54,factura,1,avanzado,1,30,29,0,0,14,Piura,activo,no,si,1
CL-00116,112,3,42,enterprise,202.91,8315.32,yape,1,basico,0,365,36,1,0,2,Arequipa,inactivo,no,no,1
CL-00117,695,4,58,anual,371.69,18845.36,transferencia,0,premium,0,365,20,0,0,3,Piura,activo,si,si,1
CL-00118,1543,1,23,anual,148.21,3141.43,tarjeta,1,avanzado,1,365,6,1,1,0,Lima,activo,si,si,0
CL-00119,2333,51,51,mensual,124.8,6197.1,tarjeta,1,avanzado,0,30,6,0,1,50,Trujillo,activo,no,no,1
CL-00120,291,2,33,anual,340.76,11433.69,tarjeta,0,avanzado,1,365,17,1,0,1,Chiclayo,activo,no,si,0
CL-00121,895,1,10,anual,161.56,1521.85,factura,1,basico,1,365,22,1,0,0,Trujillo,activo,no,si,0
CL-00122,606,2,26,anual,214.07,5327.93,transferencia,0,avanzado,1,365,34,0,0,1,Arequipa,activo,no,no,1
CL-00123,1278,25,25,mensual,132.5,2582.43,yape,1,avanzado,0,30,31,0,0,24,Trujillo,suspendido,no,si,1
CL-00124,1298,15,15,mensual,44.06,579.04,tarjeta,0,avanzado,1,30,12,0,1,14,Lima,activo,no,no,1
CL-00125,2167,42,42,mensual,93.35,3986.13,transferencia,1,premium,1,30,32,0,0,41,Lima,activo,no,si,1
CL-00126,1992,38,38,mensual,178.62,5417.94,tarjeta,1,basico,1,30,6,0,1,37,Lima,activo,si,no,1
CL-00127,1154,1,1,mensual,111.05,93.61,factura,1,basico,0,30,9,0,1,0,Lima,activo,no,no,0
CL-00128,562,1,1,mensual,235.54,224.56,tarjeta,1,avanzado,1,30,36,0,0,0,Trujillo,activo,si,no,0
CL-00129,1455,42,42,mensual,26.08,1117.95,tarjeta,0,basico,1,30,41,0,0,41,Trujillo,activo,si,no,1
CL-00130,481,1,12,anual,53.24,490.48,tarjeta,1,avanzado,0,365,32,0,0,0,Piura,activo,no,no,0
CL-00131,2492,39,39,mensual,184.11,7260.33,tarjeta,1,avanzado,0,30,21,0,0,38,Trujillo,activo,no,no,1
CL-00132,1062,4,51,enterprise,494.16,20567.4,tarjeta,0,premium,1,365,41,1,0,3,Cusco,activo,no,no,1
CL-00133,1067,1,1,anual,185.75,187.28,factura,0,basico,1,365,16,0,0,0,Lima,activo,si,si,0
CL-00134,342,1,1,mensual,162.76,165.49,factura,1,basico,1,30,29,0,0,0,Lima,suspendido,si,no,0
